   1.1109E-02   1.3762E-02   1.7203E-09  0.0457
   1.3762E-02   1.7049E-02   1.5477E-09  0.0444
   1.7049E-02   2.1120E-02   1.4969E-09  0.0500
   2.1120E-02   2.6164E-02   1.6106E-09  0.0459
   2.6164E-02   3.2413E-02   1.5770E-09  0.0488
   3.2413E-02   4.0154E-02   1.6761E-09  0.0475
   4.0154E-02   4.9744E-02   1.7131E-09  0.0526
   4.9744E-02   6.1624E-02   1.5980E-09  0.0547
   6.1624E-02   7.6342E-02   1.7453E-09  0.0536
   7.6342E-02   9.4574E-02   1.7175E-09  0.0531
   9.4574E-02   1.1716E-01   2.0047E-09  0.0521
   1.1716E-01   1.4514E-01   1.8675E-09  0.0525
   1.4514E-01   1.7981E-01   1.9046E-09  0.0524
   1.7981E-01   2.2275E-01   1.6664E-09  0.0569
   2.2275E-01   2.7595E-01   2.1939E-09  0.0506
   2.7595E-01   3.4185E-01   2.1739E-09  0.0486
   3.4185E-01   4.2349E-01   1.6906E-09  0.0520
   4.2349E-01   5.2463E-01   2.4023E-09  0.0485
   5.2463E-01   6.4993E-01   3.0543E-09  0.0545
   6.4993E-01   8.0515E-01   2.7678E-09  0.0610
   8.0515E-01   9.9744E-01   1.2977E-09  0.0784
   9.9744E-01   1.2357E+00   1.3451E-09  0.0735
   1.2357E+00   1.5308E+00   1.9618E-09  0.0751
   1.5308E+00   1.8963E+00   1.8319E-09  0.0884
   1.8963E+00   2.3492E+00   2.4122E-09  0.0719
   2.3492E+00   2.9103E+00   2.5926E-09  0.0773
   2.9103E+00   3.6054E+00   1.7943E-09  0.0946
   3.6054E+00   4.4664E+00   1.8351E-09  0.0976
   4.4664E+00   5.5331E+00   2.4407E-09  0.0920
